published_date,sentiment_score
2023-04-04 07:00:00,-0.1779
2023-03-31 07:00:00,-0.2023
2023-04-05 07:00:00,-0.4939
2023-04-25 07:00:00,0.0
2023-04-14 07:00:00,0.0
2023-03-31 07:00:00,0.0
2023-04-04 07:00:00,-0.5053
2023-04-03 07:00:00,0.5574
2023-04-05 07:00:00,-0.2732
2023-04-24 07:00:00,0.4767
2023-04-04 07:00:00,-0.25
2023-03-26 07:00:00,-0.2732
2023-04-04 07:00:00,-0.6808
2023-04-06 07:00:00,0.3612
2023-04-05 07:00:00,-0.8074
2023-04-02 07:00:00,0.4019
2023-04-08 07:00:00,-0.296
2023-04-20 07:00:00,-0.5574
2023-03-05 08:00:00,-0.1027
2023-04-15 07:00:00,0.0
2023-03-30 07:00:00,-0.4939
2023-04-04 07:00:00,-0.25
2023-04-25 07:00:00,-0.6908
2023-04-15 07:00:00,0.0
2023-04-03 07:00:00,0.0
2023-04-28 07:00:00,-0.7906
2023-03-30 07:00:00,0.4588
2023-04-27 07:00:00,0.4588
2023-04-04 07:00:00,0.5216
2023-04-27 07:00:00,0.0
2023-04-04 07:00:00,-0.6705
2023-04-26 07:00:00,0.0
2023-03-31 07:00:00,0.0
2023-04-06 07:00:00,-0.34
2023-04-26 07:00:00,-0.7845
2023-04-05 07:00:00,0.3182
2023-04-25 07:00:00,-0.2732
2023-04-04 07:00:00,0.0
2023-04-27 07:00:00,-0.34
2023-03-30 07:00:00,0.0
2023-04-07 07:00:00,-0.3612
2023-03-30 07:00:00,0.0
2023-03-31 07:00:00,-0.4767
2023-06-13 07:00:00,0.0598
2023-06-12 07:00:00,0.0598
2023-06-12 07:00:00,0.34
2023-06-09 07:00:00,0.0
2023-06-21 07:00:00,0.4215
2023-05-11 07:00:00,0.5859
2023-06-02 07:00:00,-0.4019
2023-06-22 07:00:00,0.0
2023-06-09 07:00:00,-0.5267
2023-06-08 07:00:00,-0.2023
2023-06-14 07:00:00,0.0
2023-06-16 07:00:00,0.128
2023-06-09 07:00:00,0.0
2023-06-09 07:00:00,-0.2732
2023-06-16 07:00:00,-0.2023
2023-06-15 07:00:00,-0.5994
2023-06-09 07:00:00,-0.296
2023-05-09 07:00:00,-0.296
2023-06-10 07:00:00,-0.2023
2023-06-09 07:00:00,-0.4215
2023-06-09 07:00:00,0.0
2023-06-14 07:00:00,0.5267
2023-06-16 07:00:00,0.4588
2023-06-13 07:00:00,0.0
2023-06-14 07:00:00,-0.2023
2023-06-27 07:00:00,0.3182
