title,description,url,published_date,source
'I just love you': Tim Scott and Donald Trump's other challengers fall in line - BBC,'I just love you': Tim Scott and Donald Trump's other challengers fall in line  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1MU2tLRUtkSUpjRlNzT213X19zRzI5cW5aNUhzb25XTG41ekJVeDJXZXJTVFZkNDhTaHZvMnZSN1VWQU5NMW12X1ZWd2d3ajlyMFBEU3hkRUkzVFFSekHSAWNBVV95cUxQemxIb3hDcjhnMzhWMEtJdWdha3RFdVNQZ0FBR21xN012aHkwZVdkZGZOOG50MThrUUNvSGFKenpJYl9tREJnZ3d2NkN6M2V4MWZmUTBtbDRQcWRWMEJqX1dJVVk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 24 Jan 2024 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Trump Is Already Reshaping Geopolitics: How U.S. Allies and Adversaries Are Responding to the Chance of His Return - Foreign Affairs,Trump Is Already Reshaping Geopolitics: How U.S. Allies and Adversaries Are Responding to the Chance of His Return  Foreign Affairs,https://news.google.com/rss/articles/CBMihwFBVV95cUxNQzIxb2JnckxaRVBPazMxeFk2d3B6RFhSYXpuRXlPOTZ2QnhxbnQzTnFHZTljTXlaaFdLcUItTktaOUZBWGJ3clotVEJveENNNHlzU0d3N1JIbVlHRkRfV3lNSFF5QzRDTkgwbS0wa2RGUlI1eXJNUmlfemhfR0syOEV1YVNnT2M?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 16 Jan 2024 08:00:00 GMT","{'href': 'https://www.foreignaffairs.com', 'title': 'Foreign Affairs'}"
Where the Republican presidential candidates stand on Donald Trump - NPR,Where the Republican presidential candidates stand on Donald Trump  NPR,https://news.google.com/rss/articles/CBMilgFBVV95cUxPNWd6dlVQRDRYVzY0VWZydm1PU0FDRW9FX0xnaHFUdTl1VExVZGYySHRlbjRFcTRpSFRNS1RnWkFpMW00bWZfVHdtZ1g3TTNEbmQwYURicTVDSzRvMjJhUndFREpDbGgtSVhRX3M3Y2xjQ2w4aW5ranI4bC04TnJMR2hZUTJKZHdKX3U0empLb01tRU5sZGc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 10 Jan 2024 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump pledges to block potential US central bank digital currency - Global Government Fintech,Trump pledges to block potential US central bank digital currency  Global Government Fintech,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQN2hmUU9BNnc0X1E5dlV6cXg1QVlBUV9jMENXa0oxMHl5Q3lxNU8taU9PbEZ5ejlzVVRfVFVUU0lJWldSSzZsVW0yN2tnZzQ5M0V0bEtGNllCRjlEY29RaHk0ZlY2UC1rVkdhUWgxVkw3a2xPTlo1cTZmS0I3eDdCWi1qeVhBRnUxNHlsczJZTDVUMExEdU9meTcxUzhlVFJ3UEV4Z25IcHpSUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 22 Jan 2024 08:00:00 GMT","{'href': 'https://www.globalgovernmentfintech.com', 'title': 'Global Government Fintech'}"
Supreme Court to rule if Trump can run for president - BBC,Supreme Court to rule if Trump can run for president  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5UYUUwa01oTkE5WWJVbWNrTFFmbE9YUGxTdUwwQ2JsN1Jsa0s1anhyeTJGVERnQVZsa0hhSEgybHRPVk1FcDVIX0ljRWJVUGFTNDVVN2hPQWdYVWhtd1HSAWNBVV95cUxQdkl1NEpZQlhsOERZck1ZM2RNa0pCSURPa2RoSGdNYlg5aVFkMFhWTnVwaWNCVXpoMkhLV29UemxoVzNmVWM5MGp0c1JLVFNFNVFrenlyXzdhWG4wYXNTeEJETTA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 05 Jan 2024 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
"Trump defies judge, gives courtroom speech on tense final day of New York civil fraud trial - PBS","Trump defies judge, gives courtroom speech on tense final day of New York civil fraud trial  PBS",https://news.google.com/rss/articles/CBMixwFBVV95cUxNREQxcjBuM0d6UlBRSUZFdmdIS2tCbUZfT1MtMzVNS1hpU3B4UGtvVHNUelJiQWk0RllXT2FQcER5RVh1VUJra211aFRuWTYzWnM1MHdXS1lZdmdUVkxBOVczeFZ2dmJRWmYxZzJ6MXVuTWVZVk9uU2ZHYWxfX2g3LUxfcngwQmZKWGhpc3dMeXhFOWY2bDIySkExbDgxN3lqWWEwYlB6aVlEOEFtQVBvRVl0NEpnOTlnTkpVTDJyRjNxTzB0UmdN?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 11 Jan 2024 08:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
Trump 2.0: Now is the time for America and its allies to recommit to their shared values - Chatham House,Trump 2.0: Now is the time for America and its allies to recommit to their shared values  Chatham House,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPVEhLNEVxSGxfN1V5UjZGX0ZhY3FtdlZxOHg3QkRvNnlRYjlUZzU0cmxRa2Fjb3FfSTlDS3diZXc3aFo4czl4N2V6S0JwN01HVk9UMll3cDRXM1poOUJsZVNtQWE0SXIwdFRRZGF2dVVFbGwzLTJWZVUybE00QXNQN2o1WWZuSEt4blJ1a3pCSUkzeHdpLTVMNzVLekFzRnd5N1dSSFZpZERpdw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 27 Jan 2024 08:00:00 GMT","{'href': 'https://www.chathamhouse.org', 'title': 'Chatham House'}"
John Cornyn endorses Donald Trump for president - The Texas Tribune,John Cornyn endorses Donald Trump for president  The Texas Tribune,https://news.google.com/rss/articles/CBMigwFBVV95cUxOeTZvRVpYWENpY1dKZkNTQkt2WmNLUmxaTG53ejVSZmVBajFybVkxcUJ6ZVVvUGtVYWxoV0UxcklBQlZ1SlQ1ZXFDVDQwekNqb2ZUVngtVG8tVFdacFNXTWxrWHlOeVN2SG93VWcxVm5hRnF6elZHNWlsZGRWbVR1TzYyRQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 23 Jan 2024 08:00:00 GMT","{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
Trump wants to pry into White House records in bid to argue politics in his Mar-a-Lago documents case - CNN,Trump wants to pry into White House records in bid to argue politics in his Mar-a-Lago documents case  CNN,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYk5vRDJmUUtRUmhzZVBEdHdHbjMtZ1ktQnI5TmJKcWNYR08xUWJHaXlwaEhGUERmQjhxblNZa0RJOEFxckxudFJKLXk0YWgwS3kxQURsZ1d5bXFpdzVqcW8yYU9hWnB0RFhINHVxSk9yMW5ZLXJPaE1jaW5ORV80Y3FCYUJabVpVUkVFdExFMjI0VUpDb3RrR25Wa3FMTmpVdEtZQ9IBmwFBVV95cUxNRzZMQk5vY1BpamFNQ01lbjFCY3BhVGZ3MXJPR3o5Z015c0dpdUR1WXIxVTlzVl9rRlpKOE1LWFpzSVl0bnJNR2c5TGFuU0xjb243a3NQM1BFbkNadTJkZXcwMlFNaEF3VzFYUXlLNDhING81UFBFcDJNcTVkdnk2WHVWN3NCOUVqN1E2cm9uZldueXpBQk54U3BhUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 16 Jan 2024 08:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Trump’s 2024 trials: Where they stand and what to expect - PBS,Trump’s 2024 trials: Where they stand and what to expect  PBS,https://news.google.com/rss/articles/CBMilwFBVV95cUxONVpacjhYbHZpMERjM1h1M2dobjIxcUlTOXBrTlRYblNfc3k3MlJJZ2NmdHdzWmpXdzB4SnFkc1dlWExCTnF2VFZqenhWbF9TbDAzWDhfSW9rcHI0QlotN25ieG1Wenc5S2t0a2tXOFRzQWw4QlRkWVlDMEJ4Y0tyaDQ1TnJyTW5HU0V3Rk1MSnBseFJhZUNr?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 25 Jan 2024 08:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
WilmerHale Attorneys File Amicus Brief in United States v. Donald J. Trump Election Interference Case - WilmerHale,WilmerHale Attorneys File Amicus Brief in United States v. Donald J. Trump Election Interference Case  WilmerHale,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPbnl1WnJieW5yRkxpMlJWRW9OQjdWbV93RGJQdFY3Rkp6X3puN0RjY19XdjFXVUE2eWhPWnpqN09BTF9zV2xEVGhVelhmSHFyU1J3V2hEeHI1dl94a1J4V3gwSE9YSDhLbEFsOEJTNVgxRzFoc19pMk5LN2pOS296QkgzZnhlc1lWUE1JUXB1VVBEYkdJaUp6cmNsZ3lFOXBVT0NSVzNVdnNwWVdFajFkdjM5NkpJaDViSFZiVkZMSFplM3lBcXNHVm9QT1NKYVNuemg3MHNGMHFmd0Z5eWxDcExGM2FrX0E?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 04 Jan 2024 08:00:00 GMT","{'href': 'https://www.wilmerhale.com', 'title': 'WilmerHale'}"
