"UVA Expert: Trump Indictments, Investigations Require Novel Prosecution - UVA Today","UVA Expert: Trump Indictments, Investigations Require Novel Prosecution  UVA Today",https://news.google.com/rss/articles/CBMipgFBVV95cUxQNVZHY3RxRndpNTNoeFBuRUFvcjk5SmpjWTNJY0I2VkxaYW1wOFFheFB3WTF5SmFZbHdKQktJalZHTEhydndhNVRfZFdQcnc4WlZjQnc4bXNlRlFGTHpYNXRfaGlKZ0tobU5mYVBfSnE0THlVWVFWMExsWTV4bnBNQ3ZBUWU1UnlqbjFtVjA4TlZjTFJtMmxhaDNUY2ZyTlgtQ0lNUHZn?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 06 Apr 2023 07:00:00 GMT","{'href': 'https://news.virginia.edu', 'title': 'UVA Today'}"
"Former Pres. Trump: ""I Am Your Justice...I Am Your Retribution"" - C-SPAN","Former Pres. Trump: ""I Am Your Justice...I Am Your Retribution""  C-SPAN",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQelRJUUk2RW1vajdVMFBkd29xaG1Yd1hoYnlSNEo5Yk5hckNQV0VQUEZvWWpiVDQ0c1B3QmdDT1pmdzlmaGlWZHVzTVA0V0xMRld4eFVYUWg3YU9TY1pVZGJLYTVidFVRRFhNS2hBS1B5eGp1QnVyNGVyVDVRWTNYUjlkXzhFWXFNT3hrYkNZMmVHZTRYYWFmZUV6bmdJTFk1cW05eS1DZ1pPZw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 04 Mar 2023 08:00:00 GMT","{'href': 'https://www.c-span.org', 'title': 'C-SPAN'}"
Analysis: How Trump’s indictment will complicate his 2024 reelection bid - PBS,Analysis: How Trump’s indictment will complicate his 2024 reelection bid  PBS,https://news.google.com/rss/articles/CBMirAFBVV95cUxPanFfOHFxZEI5NDg1ajQ2aGhjdnFRSEVSSGMxaGNGWUozcmFkdHFRSWxPZFNhMEJtYzM1VGc5VnpueEYyLVNRZGVPX0Y1Q1FuQjQxbUxJU3NBak40RS03eC16QnZidHpJQld1aWdYaGtoeUtJUmVqVnFhUGxzVEVZaEFqc01waUlxNzZnYXgtT2xCU0dkQ08tM1h0QlV6NWl6LVEzV3FiVUtsaDFV?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 01 Apr 2023 07:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
New York State Legislators Announce Legislation to Rename Donald J. Trump State Park - The New York State Senate (.gov),New York State Legislators Announce Legislation to Rename Donald J. Trump State Park  The New York State Senate (.gov),https://news.google.com/rss/articles/CBMivAFBVV95cUxOSHBwVmgyQ1NNcWdqc05iNldrTm1JMmVDWTZNdUlYV2N3WHRZWnhncmk0akM3eVRMSWtZckZLb2JYSlU4NEIxU2laRXlXTkwwMzVMYUdCaWg1LVl2dE02Y1pTelhaRUhxSWlVWE9YbmNDMFpNdFFsMWcwWXVuRnpCU0hoNTlmVG56X3JiQmFOdU1YeFhiUl96Q0YzZXpYZFEwQlExNnNZNDd3Vl96Z3liWWRkYkVaenpRWGZVZw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 22 Mar 2023 07:00:00 GMT","{'href': 'https://www.nysenate.gov', 'title': 'The New York State Senate (.gov)'}"
Donald Trump’s 2023 financial disclosures - Citizens for Responsibility and Ethics in Washington,Donald Trump’s 2023 financial disclosures  Citizens for Responsibility and Ethics in Washington,https://news.google.com/rss/articles/CBMisAFBVV95cUxPSHFfeXVMQ3plSmVKRHl5blFOMm1VWXREdGVZeUpsdjRLc3YzU0sxTFFjdmFjZXE4RjhWdGQ1bVhTLV8xYXJQbWQzRkFfMlpFVUMzSGV4bm1fUUNwZFc3dU43aXF4T2syb0VMVGZxZVRvdEFnSWNELUFlQmpPS0pBZkVFNGk2WW85TWtnTjAzQjV3TjdBaTV1RXVVTC1mdlZNaXVPby1KSEVoX0kxVWFzLQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 14 Apr 2023 07:00:00 GMT","{'href': 'https://www.citizensforethics.org', 'title': 'Citizens for Responsibility and Ethics in Washington'}"
"Donald Trump faces his arrest with a public perp walk into a Manhattan courtroom – this could energize, not humiliate, the former president - The Conversation","Donald Trump faces his arrest with a public perp walk into a Manhattan courtroom – this could energize, not humiliate, the former president  The Conversation",https://news.google.com/rss/articles/CBMi_wFBVV95cUxOWWIySFc1SHBMYXJDZG1tX1BoTVJ0T0pVY211eHhSUUprbUdKLW9USUVUb0hhQzA5ZzJub2QtSl9wRWtwVVo3TjFyYVYyVURuYm1ucTNRa0lZcEY1em5yaThHNi1BU283WF9Da3dOZTRId3Nnazh2Zmk2WkJzZWhXUC0xeERoMExFRDA0WUNrSGRTREVZaGcwWG5kR0RnZVM2QmliUTJxcjN2YmI1RzRDVzBZZERCbFNwOFQ1OVM5azk1UW15aHB0Q0V6Vm1XOFRmT19mZ2NheUMxcFhGcFFCMWRScmxsdmdzR3FtQXl0YlFjc0Y5WmVzajd6UlBNVFE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 03 Apr 2023 07:00:00 GMT","{'href': 'https://theconversation.com', 'title': 'The Conversation'}"
Trump Politicisation of COVID Was a ‘Comorbidity’ in Disappointing US Pandemic Response - Health Policy Watch,Trump Politicisation of COVID Was a ‘Comorbidity’ in Disappointing US Pandemic Response  Health Policy Watch,https://news.google.com/rss/articles/CBMihwFBVV95cUxOWEFsZ1dpUEVkODJFTkd1V3lITFNVQkJNZUNnaGtKY1E5a201VEF3bVpYYzZzVFdvTUpPcWI5V1RUbDBYcWFWbk1PNVhzTWFxQTdQXzd0NVRzRncyY2JNN3pDSWZ0Q1ZaSTQ5VF9nR3dqOVloM0QwQWdWM0huZ1ZaSUZwbjNxUzQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 25 Apr 2023 07:00:00 GMT","{'href': 'https://healthpolicy-watch.news', 'title': 'Health Policy Watch'}"
Rep. Omar Statement on Former President Donald Trump's Indictment - Representative Ilhan Omar (.gov),Rep. Omar Statement on Former President Donald Trump's Indictment  Representative Ilhan Omar (.gov),https://news.google.com/rss/articles/CBMipgFBVV95cUxQeVkyUFdneEt6MnpPdVhIMUtvY3Fjdi1BelVJT3pubEgzR3hqSFctN1Y4b2JxZGZINFpNamVUdy1KVkx6c2R3RzRTN0RkdHhkR0tDelVPZldVNjJxeWVaN215MWFneDRjc2o0ZGNTbmhMX0Q1b09aZlJnRmtTU0MxQUJBUUotVUtjd1c5bjI0cl9mVjZEWm01ck1ERFI3MlNvNnNhNVRB?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 30 Mar 2023 07:00:00 GMT","{'href': 'http://omar.house.gov', 'title': 'Representative Ilhan Omar (.gov)'}"
Rebuilding Federal Agencies Hollowed Out by Trump and Congress - Brennan Center for Justice,Rebuilding Federal Agencies Hollowed Out by Trump and Congress  Brennan Center for Justice,https://news.google.com/rss/articles/CBMitgFBVV95cUxQaEFMdkZqaExlSUMtbzdHUFhXaWhoaVk4TnlrMzhpdE91Wi1MQTJtWTdWNXM0UGhxc3ViMVhJdmxjbkRqUFk1WXBvaFVKeHFjc2RoazZ3UEVUcnZ6emRWWEMtMXo3bGdSX2lhcDZqbHZ4eExfYTkyODFra3NzTkZWaVA0d0NJNjN1djNEQ1hndzRyTVBrSlU5XzF0RFM4VXdSbGNUYzVhRFhrcWVGZXA1cmJlZzA1Zw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 05 Apr 2023 07:00:00 GMT","{'href': 'https://www.brennancenter.org', 'title': 'Brennan Center for Justice'}"
Trump and His Allies Must Be Held Accountable for the January 6 Insurrection - Center for American Progress,Trump and His Allies Must Be Held Accountable for the January 6 Insurrection  Center for American Progress,https://news.google.com/rss/articles/CBMiugFBVV95cUxNQ0gzcUNvOTJrMjJ1UmxKQ2Myam92aW1VT0dXYkUzUmJyRWZ3b3FFWE1FaVNZbW0zdEdCdnN4WXV2QjkteG51QnRSc2ptdVVvblpVeUg0anVDZTd4Q3BQX3QwdEZiN082ZjFLQVVscERUMXBPamFmZXU5S0ZVWWhpVk5WLWdCRDh5cHN6TnkwcmpfaHUtYV9pRGdNa1RoX2JabFRPU1B5aDU4dmFyRHBMUGl3SVVKc3ZzYWc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 20 Apr 2023 07:00:00 GMT","{'href': 'https://www.americanprogress.org', 'title': 'Center for American Progress'}"
Former President Donald Trump has been indicted by a Manhattan grand jury - NPR,Former President Donald Trump has been indicted by a Manhattan grand jury  NPR,https://news.google.com/rss/articles/CBMikgFBVV95cUxOUUpUbjFjMUFackE3Nm5MT0FWa0JzUTdNY2pLZDdyUW5fS2hnb09tY3JvZ3lPYWJsbjg4MWtwUmFkTUFZNG03UV81blo5ZXpsY3hnTGNxTjU2M1Y3bkJOZWNObW9KLXZxVk9MWUdrZnpVZGdWMkM5a1FUbUEtRnFGRWdROS1CTTk4R3ZaQnJyc1BGUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 30 Mar 2023 07:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump’s indictment in New York: Here’s what to know - AP News,Trump’s indictment in New York: Here’s what to know  AP News,https://news.google.com/rss/articles/CBMikwFBVV95cUxPa2pZa0JJQko3ZmtBZUp2UVVvOE9rZXllcVVhRXF3eU5QSHhIUW5wYjVOWFlUZExlZHVVVXF2NnQ3bDdoT1JOMjV0dlV6TUdtTjZ2LU05eEFZMkpnUnhtVkUxa0xSVWRxTVFwaFpRVnhweTFrUXRnTV9TNVFhRU9GbExOT09PUDRIeUlZNll0ZzZ0aUk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 30 Mar 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Trump made up to $160 million from foreign countries as president - Citizens for Responsibility and Ethics in Washington,Trump made up to $160 million from foreign countries as president  Citizens for Responsibility and Ethics in Washington,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPOWU4R29ZNHVyNXBDbW54dFBURk1iTVFjQVVUZDFQOTd3WVlUclJ4R2V0WGNYakU1cy1vajVlMERTWXZUQng4QXN1cGhwc3FzMkUyUGZwbG5oamkzTUk5ZzUzX1NDSEo2TlItalJQM0I0WXY2Y1l0UXhtcWNjamhUc2lWanF0VlpKdC1wX2JQTjN2OXlUbmRGS3NlSi1EVUU1WHZ6LTd4d1pZWEY4V0VoamVvNEhqaEdPdnBUOUF6TDJnRXhWcDA2LVBVcXUzdHVlSTlja1pkZ1ozQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 13 Apr 2023 07:00:00 GMT","{'href': 'https://www.citizensforethics.org', 'title': 'Citizens for Responsibility and Ethics in Washington'}"
What to know about the Trump-E. Jean Carroll trial that is set to begin this month - NPR,What to know about the Trump-E. Jean Carroll trial that is set to begin this month  NPR,https://news.google.com/rss/articles/CBMiggFBVV95cUxNc0Q5cVpoQU41cHV6dkZSbHYzNENRZGFuWGNrRjRGQ0E2SUhDNHctYVlLZWRMWGtjamVrTnZtTkxnb2RxV3ptRVRRWVBaR3NrZ0pyQlEtVERuRXZ5WDFDZGFIdDdpWFdoUVhBclc0c2UzVnlLb2NDc0E4WXhjU2ZCZlpn?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sun, 09 Apr 2023 07:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump charged with 34 felony counts in hush money scheme - AP News,Trump charged with 34 felony counts in hush money scheme  AP News,https://news.google.com/rss/articles/CBMimwFBVV95cUxOcEFyYlgzM2hZT3JrQW95WWxrdHk3bV9yX0ItNGFYdWZueEEtek1KU1ZOakpJTFI3ZlNRaVpQSzNnUEtSa19DZ3B4VmRTcWhmbzBwUC1JcjNTM1JoVUpiaWVnZXN3am5rV3JDR3J6T081RmFQNF9rNDJhdENpRmxIZEVGNGV1YXBRZ1BJZVpIOUkwR3dRTTUwVUExMA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
"A president has faced arrest before Trump — for carriage speeding, 150 years ago - NPR","A president has faced arrest before Trump — for carriage speeding, 150 years ago  NPR",https://news.google.com/rss/articles/CBMihAFBVV95cUxQSk00aExRc0lBZndEYWZzcmFjRkRsc0ozNWhXQmNvSFZnbHlhcmxZSFFZM2xMU2pPUHFIeXBOOTczQ3lnMzBseWhvQXlZRWt2SHlMRlRHbGRTaUlHZ0JIZDlVZzQzU1lxR1B6X0RLaElVSWV1M1pjTXN5cURnQU1JMzZmWkY?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 31 Mar 2023 07:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Donald Trump has been indicted. Here’s what happens next - AP News,Donald Trump has been indicted. Here’s what happens next  AP News,https://news.google.com/rss/articles/CBMimAFBVV95cUxQRUV5d09pQTF1UTB0MUk4OG1oVzdYUk9neXBjYk4xTjRndmJjNFhVU1dZMHRRM0FPUm9UeTB3RmMzX3pxSkdMa19FRXBtRVJ1X3N5ZmRpZE5rd21OWTBjZ01tNlVlbjhBVzFYSzVlX2IzUHdWSFRtYnYzMlk4TTA1S0kyWFJSNDhYV1hSSUZoazMzVHYweFZSZw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 31 Mar 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Trump pleaded not guilty to 34 counts. Read the criminal charges - NPR,Trump pleaded not guilty to 34 counts. Read the criminal charges  NPR,https://news.google.com/rss/articles/CBMijwFBVV95cUxPamZzR2FOSEFfU2xsdVU1RUxtMXdORE5DcXJaNlR0dkM3YjRzYUxVaTVzcktMdTZvTW9FVmFDN2x1ZjhPUV9CRHlWY202MnhFazgycWhLNkNJS3FReGwwTXBKbXh1TktNVzQ1SjJkSEZoY21mUGJqS08tbGdoMDlOREsxVk9PVTN5LTNGTWFGYw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump’s charges are about business records. They’re also about how he treats women. - The 19th News,Trump’s charges are about business records. They’re also about how he treats women.  The 19th News,https://news.google.com/rss/articles/CBMiakFVX3lxTFBtU1lmd3NkY2FSTG5mc0NlMElUc3RRU2xEU2FOWGxQRVJqbDJocnU2cURPN1FIYkkyVk92WWthR0hJaVFacWpLdTJod2U3UXRpNFJxdUFyZjRISmdsZGZ1Z0ItanFSWUswYXc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 06 Apr 2023 07:00:00 GMT","{'href': 'https://19thnews.org', 'title': 'The 19th News'}"
Former President Donald Trump indicted by Manhattan grand jury - NBC News,Former President Donald Trump indicted by Manhattan grand jury  NBC News,https://news.google.com/rss/articles/CBMipgFBVV95cUxOYTlPcmsxMnB6RDE1cHBWREx5VHFCUXc5LTZOSXFQRHNSM1FVNDA4NklSb2hqVHBoa1VDbHEta29kcFBVczFJZVZJWlV6TzhfQ1JhcHdVYWQ3Y2V0aUVBdW54Z2dWVF9mNHBzOHlxeDEzZng4cHRSbzhyVEhwOHlnYkhVbFZRdDVtaHU3VFNLejBsYUtOckx3NDQ0Y2RlQ05LMWlTU0NR0gFUQVVfeXFMT1BUcExNOWFQV185azNzM3Zpa21fZ251eko0S2dHcXdQbWp0Wl9QdHdVSXU2bFlKQ0laN2dkTXc5THJlYWJiaFFhV25TT2VEa3JJSHI4?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 30 Mar 2023 07:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
Donald Trump Becomes The First President Charged With Criminal Activity : 1A - NPR,Donald Trump Becomes The First President Charged With Criminal Activity : 1A  NPR,https://news.google.com/rss/articles/CBMiswFBVV95cUxQbUdtbUNEaUNuLVJzZk1zcTZMTHVPS0lyQW9ZelB2RFZCWnlvb21YVlRKbmdBclBBdFZNMXZBZkNzdFYzMnVZY3RXdW9vTDlDSG9oMVpRSHA0UmxOT0MtLXZFcnJlaFkzdVM0STlzTUEtZkNmYmFGY1QtbVVVRGp6T0ZjWjE1RkpRZmk0SFlPY2Z5WnZ2TTBaSXVaNHRMd2lzcU1NUVZTR1ktQ3BXLTlDcEVCSQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 06 Apr 2023 07:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump indicted: What to know about the case and what’s next - AP News,Trump indicted: What to know about the case and what’s next  AP News,https://news.google.com/rss/articles/CBMimwFBVV95cUxPWWpQNlhoZzFlVHlVczBrOExzb0didXBSR2FsWHR4VFp2YmpOZVpDSWo5ZHBKb2w0dDBHTDVPd3V3UW9wc2tVUGJISHluRVRhbFZNTTRiYkNoQ1pPMVdZRDZJNkdDUzREUjJDX29od2VDVU1HRVFNMTNsd1VfTjNVSFFlV1hPRnNaM0g1OExIbVRRY0JfcXhDMm5oQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 03 Apr 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
CONGRESSMAN LAWLER PROVIDES A STATEMENT FOLLOWING INDICTMENT OF DONALD TRUMP - Congressman Mike Lawler (.gov),CONGRESSMAN LAWLER PROVIDES A STATEMENT FOLLOWING INDICTMENT OF DONALD TRUMP  Congressman Mike Lawler (.gov),https://news.google.com/rss/articles/CBMickFVX3lxTE53Zm04dEhwNmY5MmdrYTdLalNTLWZDV2hxSFBuYkVEeUtTelFHamQtUlAxTHJxOVhLd21PcDdCenJ0cnhSdkh1NWozWXZObG56aUQwcjREUWlSV2hEZmRRN04zWVpKUEwzdk1NQnYwTWcxZw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 31 Mar 2023 07:00:00 GMT","{'href': 'https://lawler.house.gov', 'title': 'Congressman Mike Lawler (.gov)'}"
The Cost of Trump’s Trade War with China Is Still Adding Up - Council on Foreign Relations,The Cost of Trump’s Trade War with China Is Still Adding Up  Council on Foreign Relations,https://news.google.com/rss/articles/CBMic0FVX3lxTE90QkpuTE1HMHBBTVdPVUplbEp4c1V0VFJuYWJ2YlNsQmtZSHg2QVo0SUJwRHZaMXFiX1dVTGRITkVibGNFaWZXTmZJMzU4X0JNbDJidDBCdnk2aDdISG93Wmp1SU40bm1sLVJ1VmZ2NXZvYm8?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 18 Apr 2023 07:00:00 GMT","{'href': 'https://www.cfr.org', 'title': 'Council on Foreign Relations'}"
Trump’s day in court as criminal defendant: What to know - AP News,Trump’s day in court as criminal defendant: What to know  AP News,https://news.google.com/rss/articles/CBMijwFBVV95cUxOdDNjdWJ3eXRCUl9GNzJWZFJtc2hwa0VnMnF6S2V2OU8tcmVCcmtULUpQc0NLeC1zeVhpU2JLRGtyWmJIWk9nbndTWTJQMnk3ZGg0a1V5RWp2YzBabXNhVEdGOW90UTFrRlhPNzlFWUZlUTVSQUNoTkw0V1h4bWVxMXp1LTBSYmtqb0VmSkJYUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 05 Apr 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
"Trump indictment: US going to hell, says ex-president - BBC","Trump indictment: US going to hell, says ex-president  BBC",https://news.google.com/rss/articles/CBMiXkFVX3lxTE11VW9DQjM5NlE0SnhMRS1KNVM5Qnk3NmZNR3VPNWVoWTFuU0tuSmRCS3RFa2ZLdWpuazZQeGRqWXhNUVB0LWlIZV95WlB1dnZ0TENOMGszUUdYZzdTelHSAWNBVV95cUxPTGRTS0JxQzlpa1ZZNjIyUVJoaXhvLWE4QmNaTEcwbnVVckJfYXAtQW9tUjNzZzV3VWwtMUpJdGNDS3BMdS1DLVRqWnJ4SGloU1g2b0xma3pwdWc2c0lWTmVJLTQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 05 Apr 2023 07:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Why wasn’t Donald Trump handcuffed? Did he get a mugshot? - Northeastern Global News,Why wasn’t Donald Trump handcuffed? Did he get a mugshot?  Northeastern Global News,https://news.google.com/rss/articles/CBMifkFVX3lxTFBkMUQ0MFdvUmxZdTAtNXFKcG1xai1PSU5ZZ1hQUzhUeXVlTDlDOXhpOFVtX1NFVHQ5T3gyY3pmbjNtWmtSUzhhUHVCTkE2c2NEcDAzWV9HUVRwMmZlRzRzR2libk1mZS1LWEtCNGwwbnFNZTlzNWVXd0UwY2t1QQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://news.northeastern.edu', 'title': 'Northeastern Global News'}"
The Trump Indictment Reminds Us That Campaign Finance Regulation Should Not Exist - Cato Institute,The Trump Indictment Reminds Us That Campaign Finance Regulation Should Not Exist  Cato Institute,https://news.google.com/rss/articles/CBMinwFBVV95cUxNMkdtY3BkV1hZWU92UHc4enlIQVN5Z1pITHZRbnBhRGFrZVZ3ai1Gclo4eWxpTnRqb0FySnhSSXZIbTRwbVJEck9iRjVNTHRWNndfalRwUWRMNUJNZGdwWHNBTkZzOHJ6Z0VrLVRsUkR3aUJmd2VHUkkyZndNSm90OEdNSnRHM2ZoeUxnampxZVk2Ylk1MGl0aktFOURLbjg?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 17 Apr 2023 07:00:00 GMT","{'href': 'https://www.cato.org', 'title': 'Cato Institute'}"
Two Texas “Trump Train” participants settle lawsuit claiming they harassed 2020 Biden campaign bus - The Texas Tribune,Two Texas “Trump Train” participants settle lawsuit claiming they harassed 2020 Biden campaign bus  The Texas Tribune,https://news.google.com/rss/articles/CBMifEFVX3lxTE5lRXdHSTN2MWdvOWNmV1FJVHBCU0ZVOUJfakdxS1NVYURQV2p3WEhRbHdfaXd1RUhYaVRNODlCMmZJT2pNRVlfXzdJVmdlUTFvWXgzRjgwSTk5Umc3NGhJODZiSzJrM3BxaVNZTDR3QU1zNzJOVGxrQzBXWFk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 27 Apr 2023 07:00:00 GMT","{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
Trump’s surrender at courthouse creates New York spectacle - AP News,Trump’s surrender at courthouse creates New York spectacle  AP News,https://news.google.com/rss/articles/CBMilwFBVV95cUxNWkpQZUhQYWxZVUpPbG9QYlhiTU1UdVQtN2M5OTgtbUNRVGJrdzFFREFNR0VJU3V3NkFIZjNxQ1Z4dWV1QVJYRjNXUlVlYS1nWE9TaVNIWlRnYU4ySFF1V0VzWGk5bU5zUi00cDVOR2d1bkE5T01KMTBHSEF4akZEODdXejIwc3JfTzd3b3NsNV9tQk1zYjVn?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
"March 30, 2023 Trump indictment news - CNN","March 30, 2023 Trump indictment news  CNN",https://news.google.com/rss/articles/CBMilwFBVV95cUxNNldIcFQ2R2JCNnRmUHdoNG9CaGREdURadzhZSU4xQkROV3pOLVVoTWpDX2FuX2hCYU4tQVktYWNfTWpra3JaZlFteFRWRlUwaENhM0RId0lsSi1JVjF2ajF2SkpPQmhoMVRoWm54Vno3WlFSTm54ckU0MFhTNldkc0NEbTRMWnduVHYyZjVpeGJObjVRVk4w?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 31 Mar 2023 07:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Former prosecutors outline lengthy legal battle ahead for Trump - PBS,Former prosecutors outline lengthy legal battle ahead for Trump  PBS,https://news.google.com/rss/articles/CBMingFBVV95cUxOa2JEZHZPOFZrWHF6SEcwRzNsX1VCdE1PMk5iNnpRMFpGSHk0a1RhdEJrRGYwT3VscE8wX0NoZ0RMcUFjUDFUVW1ISFVVWG5uZ0tPN2tTdmdCcFF6X0IweGNMU2NzQ0JLVjZrSm95RkE4QWY5d1dLUDlsZHhIU2NRWlk5Zk41dF80cDNvOFljeGZvY3pUVTdld1JnRjlFQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
Trump indictment: A simple guide to what it means - BBC,Trump indictment: A simple guide to what it means  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9XdjBkSnNtQThXOEJRYnhIYWtxblBvM09mRUpLbjBBMEVYU2JSSUJnV0VpX3ExSEVpTG5VUjZFeDVmTFUxa1g0MWd4Y2hGVkktdHNwVXhsSmV3Zk56R0HSAWNBVV95cUxNOFFqNk55UVBsN0lkOTd4LWZrSVZ2MW9wRXZzME9jSFlYYlpGVkdwQnc0OEd1cnBiV2lKMDh5dy16SlhsamhWa0hDSEREeUJzdnhfdS1mTlRqdmpvMU5tOWhJdjQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Trump faces criminal charges in court after historic indictment - CNN,Trump faces criminal charges in court after historic indictment  CNN,https://news.google.com/rss/articles/CBMilgFBVV95cUxOOHdXZnNDV2QtbEJwWDdPMl9mcGlnRDZQOGJIV3MyYm9SQU5zRlIyamFBMHY2LWxjZ0tLNS1BdTlhN2dNZGNXUzUzb1AyZXB4a202QnRuOVZ3aTVGd1piVzlsWDJ3WXlYLTNKd0RReC1kdXBSdkJMNkRwR192bmtWOFRTTVNUdkc3NnZKZUZDMnpxaWl6SXc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 05 Apr 2023 07:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Donald Trump pleads not guilty to 34 felony counts of falsifying business records - CNN,Donald Trump pleads not guilty to 34 felony counts of falsifying business records  CNN,https://news.google.com/rss/articles/CBMijAFBVV95cUxQdGlzWlI5S1FOd2M1eXBVeG5kQW9hY2plR0xvR05rWUZaQjZMUU1YazdiNnFzb296MWRpU1dSbl9HWnFFWVRzZUZGcUpLSDhadGJxNGxPeWRhMXpqcThyYV95ZlJOdlp6NUZWMXdsZndDYnBKRUR0LXFrWC1ueUVEY3lNMUxZTThIb0xEQ9IBgwFBVV95cUxNeVk2TmlaS29Yc21sZllWYVBTbFF6SDgyTV8zZ0NYTWpNdVB1OU1RSjh5dVNjNkdNYjVqTmZmYjZja3RBcGNOc1NlbXFkRnhxWkRGWlpBUTdRWDhOc2VJMGZUZEREaDVWYUVaSUV5eXE5aEJMRzZTVkx0VHNUaXRjZFVLRQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 04 Apr 2023 07:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Look who’s back: Donald Trump’s big return to Fox News - AP News,Look who’s back: Donald Trump’s big return to Fox News  AP News,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNb0FfTUVhQ1NaUGpIRDhIM3NJb3RlZDZWWEhxQ3hzUXpKNldISmhCRE52U0RjLVNHQXVOVEVVcTVZU1VhVkozY2ZueFp4dDIxRkFtbTlDQlA1QWs4WVdZbHo0ZnROZU4xck9wSFUyVlQzN0FKQjB2UWlXSlBvcWNJa0F4TFFzbU0ydTdhSE9vall6UkNhUjlWNkh3SjZ6a1ZtTFFjbkJiZkRodw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 12 Apr 2023 07:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
